Training Episode,Accelerate (3),Straight (0),Brake (4),Left (1),Right (2)
109,0.346153855,0.384615391,0.096153848,0.134615391,0.03846154
110,0.307692319,0.269230783,0.230769232,0.15384616,0.03846154
111,0.480769217,0.115384616,0.307692319,0.07692308,0.01923077
112,0.365384609,0.269230783,0.230769232,0.115384616,0.01923077
113,0.384615391,0.15384616,0.346153855,0.115384616,0
114,0.5,0.134615391,0.115384616,0.192307696,0.057692308
115,0.269230783,0.211538464,0.211538464,0.134615391,0.173076928
116,0.576923072,0.173076928,0.115384616,0.115384616,0.01923077
117,0.403846145,0.134615391,0.403846145,0.057692308,0
118,0.5,0.15384616,0.211538464,0.134615391,0
119,0.90625,0.03125,0,0.0625,0
120,0.538461566,0.07692308,0.115384616,0.25,0.01923077
121,0.557692289,0.230769232,0.03846154,0.173076928,0
122,0.192307696,0.653846145,0.057692308,0.07692308,0.01923077
123,0.15384616,0.730769217,0.057692308,0.03846154,0.01923077
124,0.03846154,0.865384638,0,0.096153848,0
125,0.230769232,0.653846145,0.057692308,0.01923077,0.03846154
126,0.442307681,0.25,0.230769232,0.01923077,0.057692308
127,0.56410259,0.205128208,0.179487184,0,0.051282052
128,0.639999986,0.059999999,0.25999999,0.039999999,0
129,0.730769217,0.096153848,0.03846154,0.134615391,0
130,0.865384638,0.03846154,0,0.07692308,0.01923077
131,0.769230783,0.03846154,0,0.134615391,0.057692308
132,0.653846145,0.03846154,0.03846154,0.230769232,0.03846154
133,0.442307681,0.01923077,0.25,0.269230783,0.01923077
134,0.480769217,0,0.03846154,0.461538464,0.01923077
135,0.461538464,0.01923077,0.25,0.25,0.01923077
136,0.115384616,0.365384609,0.5,0,0.01923077
137,0.134615391,0.115384616,0.557692289,0.173076928,0.01923077
138,0.480769217,0.03846154,0.07692308,0.384615391,0.01923077
139,0.519230783,0.03846154,0.03846154,0.346153855,0.057692308
140,0.442307681,0.211538464,0.173076928,0.115384616,0.057692308
141,0.403846145,0.096153848,0.01923077,0.442307681,0.03846154
142,0.07692308,0.365384609,0.115384616,0.403846145,0.03846154
143,0.096153848,0.807692289,0,0.096153848,0
144,0.326923072,0.288461536,0.01923077,0.288461536,0.07692308
145,0.461538464,0.096153848,0.25,0.15384616,0.03846154
146,0.365384609,0.115384616,0.01923077,0.307692319,0.192307696
147,0.307692319,0.365384609,0,0.269230783,0.057692308
148,0.933333337,0.033333335,0,0,0.033333335
149,0.423076928,0.173076928,0,0.057692308,0.346153855
150,0.515151501,0.212121218,0,0.060606062,0.212121218
151,0.666666687,0.200000003,0,0.033333335,0.100000001
152,0.365384609,0.03846154,0,0.03846154,0.557692289
153,0.538461566,0.01923077,0.134615391,0,0.307692319
154,0.211538464,0.307692319,0.307692319,0.01923077,0.15384616
155,0.269230783,0.230769232,0.288461536,0.03846154,0.173076928
156,0.134615391,0.269230783,0.557692289,0.03846154,0
157,0.07692308,0.384615391,0.5,0.01923077,0.01923077
158,0.288461536,0.288461536,0.384615391,0.01923077,0.01923077
159,0.588235319,0.176470593,0,0.029411765,0.205882356
160,0.783783793,0.081081077,0,0,0.135135129
161,0.384615391,0.5,0,0.03846154,0.07692308
162,0.307692319,0.423076928,0,0,0.269230783
163,0.527777791,0.277777791,0,0,0.194444448
164,0.403846145,0.096153848,0.01923077,0,0.480769217
165,0.25,0.307692319,0,0,0.442307681
166,0.192307696,0.576923072,0.03846154,0.01923077,0.173076928
167,0.403846145,0.115384616,0,0.07692308,0.403846145
168,0.326923072,0.230769232,0.01923077,0.03846154,0.384615391
169,0.230769232,0.25,0,0.096153848,0.423076928
170,0.326923072,0.096153848,0.01923077,0.15384616,0.403846145
171,0.75,0.025,0,0.174999997,0.050000001
172,0.192307696,0.307692319,0.03846154,0.096153848,0.365384609
173,0.307692319,0.211538464,0.057692308,0.211538464,0.211538464
174,0.365384609,0.01923077,0,0.576923072,0.03846154
175,0.403846145,0.07692308,0,0.519230783,0
176,0.403846145,0.01923077,0,0.538461566,0.03846154
177,0.519230783,0.096153848,0,0.346153855,0.03846154
178,0.384615391,0.134615391,0,0.461538464,0.01923077
179,0.326923072,0.01923077,0,0.634615362,0.01923077
180,0.538461566,0.057692308,0,0.384615391,0.01923077
181,0.25,0.326923072,0,0.384615391,0.03846154
182,0.326923072,0.442307681,0,0.192307696,0.03846154
183,0.211538464,0.461538464,0.03846154,0.25,0.03846154
184,0.538461566,0.333333343,0,0.025641026,0.102564104
185,0.432432443,0.405405402,0,0.081081077,0.081081077
186,0.214285716,0.690476179,0,0,0.095238097
187,0.423076928,0.115384616,0.01923077,0.403846145,0.03846154
188,0.442307681,0.03846154,0,0.519230783,0
189,0.384615391,0.01923077,0.288461536,0.25,0.057692308
190,0.557692289,0.15384616,0.01923077,0.269230783,0
191,0.519230783,0.211538464,0.03846154,0.211538464,0.01923077
192,0.173076928,0.03846154,0,0.75,0.03846154
193,0.307692319,0.15384616,0.01923077,0.5,0.01923077
